Latitude,Longitude,RSRP,RSRQ,SNR,Elevation
12.89559,77.559553,-89,-9.0,0.0,885.0
12.895595,77.56973,-99,-13.0,0.0,908.0
12.8956,77.559545,-89,-9.0,0.0,885.0
12.8956,77.559657,-73,-9.0,0.0,885.0
12.895603,77.564623,-89,-9.0,0.0,911.0
12.895607,77.559533,-89,-9.0,0.0,885.0
12.89561,77.556642,-89,-9.0,0.0,892.0
12.895613,77.556613,-89,-9.0,0.0,892.0
12.895613,77.559522,-89,-9.0,0.0,885.0
12.895615,77.556662,-89,-9.0,0.0,892.0
12.895617,77.556582,-89,-9.0,0.0,892.0
12.895622,77.559697,-73,-9.0,0.0,885.0
12.895625,77.55668,-89,-9.0,0.0,892.0
12.895627,77.562613,-89,-9.0,0.0,909.0
12.895628,77.559513,-89,-9.0,0.0,885.0
12.89563,77.556563,-89,-9.0,0.0,892.0
12.895637,77.556555,-89,-9.0,0.0,892.0
12.895637,77.556703,-89,-9.0,0.0,892.0
12.895638,77.559723,-73,-9.0,0.0,885.0
12.89564,77.56254,-99,-13.0,0.0,909.0
12.895647,77.556548,-89,-9.0,0.0,892.0
12.895647,77.567137,-89,-9.0,0.0,906.0
12.895647,77.567157,-89,-9.0,0.0,906.0
12.895648,77.567112,-89,-9.0,0.0,906.0
12.89565,77.556733,-89,-9.0,0.0,892.0
12.89565,77.567172,-89,-9.0,0.0,906.0
12.895652,77.569773,-99,-13.0,0.0,908.0
12.895655,77.559743,-73,-9.0,0.0,885.0
12.895657,77.567187,-89,-9.0,0.0,906.0
12.895658,77.567083,-89,-9.0,0.0,906.0
12.895662,77.556547,-89,-9.0,0.0,892.0
12.895663,77.55676,-89,-9.0,0.0,892.0
12.895665,77.55952,-89,-9.0,0.0,885.0
12.895665,77.5672,-89,-9.0,0.0,906.0
12.895667,77.56464,-89,-9.0,0.0,911.0
12.895673,77.559765,-73,-9.0,0.0,885.0
12.895673,77.567045,-89,-9.0,0.0,906.0
12.895677,77.567215,-89,-9.0,0.0,906.0
12.895678,77.562587,-89,-9.0,0.0,909.0
12.895682,77.556788,-89,-9.0,0.0,892.0
12.895683,77.556548,-89,-9.0,0.0,892.0
12.895685,77.567015,-89,-9.0,0.0,906.0
12.89569,77.567228,-89,-9.0,0.0,906.0
12.895693,77.56698,-89,-9.0,0.0,906.0
12.895698,77.55949,-89,-9.0,0.0,885.0
12.8957,77.556815,-89,-9.0,0.0,892.0
12.895707,77.556545,-89,-9.0,0.0,892.0
12.895707,77.566948,-89,-9.0,0.0,906.0
12.895707,77.567245,-89,-9.0,0.0,906.0
12.895708,77.55979,-73,-9.0,0.0,885.0
12.895708,77.569815,-99,-13.0,0.0,908.0
12.895713,77.559473,-89,-9.0,0.0,885.0
12.895715,77.562515,-99,-13.0,0.0,909.0
12.895718,77.566918,-89,-9.0,0.0,906.0
12.895723,77.56465,-89,-9.0,0.0,911.0
12.895725,77.567255,-89,-9.0,0.0,906.0
12.895728,77.556843,-89,-9.0,0.0,892.0
12.895728,77.56688,-89,-9.0,0.0,906.0
12.89573,77.559458,-89,-9.0,0.0,885.0
12.89573,77.562562,-89,-9.0,0.0,909.0
12.895733,77.556547,-89,-9.0,0.0,892.0
12.895738,77.559807,-73,-9.0,0.0,885.0
12.895743,77.566837,-89,-9.0,0.0,906.0
12.895752,77.559435,-89,-9.0,0.0,885.0
12.895755,77.556535,-89,-9.0,0.0,892.0
12.895758,77.566783,-89,-9.0,0.0,906.0
12.895762,77.556865,-89,-9.0,0.0,892.0
12.895768,77.56986,-99,-13.0,0.0,908.0
12.89577,77.559417,-89,-9.0,0.0,885.0
12.895772,77.56728,-89,-9.0,0.0,906.0
12.895773,77.559832,-73,-9.0,0.0,885.0
12.895778,77.556535,-89,-9.0,0.0,892.0
12.89578,77.56254,-89,-9.0,0.0,909.0
12.895785,77.564667,-89,-9.0,0.0,911.0
12.895785,77.566747,-89,-9.0,0.0,906.0
12.89579,77.559395,-89,-9.0,0.0,885.0
12.895793,77.562488,-99,-13.0,0.0,895.0
12.895797,77.566692,-89,-9.0,0.0,906.0
12.895798,77.556898,-89,-9.0,0.0,892.0
12.8958,77.556542,-89,-9.0,0.0,892.0
12.895803,77.559843,-73,-9.0,0.0,885.0
12.89581,77.556562,-89,-9.0,0.0,892.0
12.89581,77.559375,-89,-9.0,0.0,885.0
12.895815,77.566642,-89,-9.0,0.0,911.0
12.895815,77.567303,-89,-9.0,0.0,906.0
12.895823,77.559358,-89,-9.0,0.0,885.0
12.895823,77.569898,-99,-13.0,0.0,908.0
12.895825,77.55986,-73,-9.0,0.0,885.0
12.89583,77.55657,-89,-9.0,0.0,892.0
12.895832,77.56659,-89,-9.0,0.0,911.0
12.895835,77.55693,-89,-9.0,0.0,880.0
12.89584,77.562518,-89,-9.0,0.0,896.0
12.895845,77.559347,-89,-9.0,0.0,885.0
12.895845,77.56469,-89,-9.0,0.0,902.0
12.895845,77.566532,-89,-9.0,0.0,902.0
12.895847,77.559877,-73,-9.0,0.0,885.0
12.895852,77.55658,-89,-9.0,0.0,880.0
12.895853,77.567317,-89,-9.0,0.0,893.0
12.89586,77.559337,-89,-9.0,0.0,885.0
12.89586,77.566477,-89,-9.0,0.0,902.0
12.895867,77.556585,-89,-9.0,0.0,880.0
12.895867,77.559898,-73,-9.0,0.0,885.0
12.895873,77.562452,-99,-13.0,0.0,896.0
12.895875,77.566428,-89,-9.0,0.0,902.0
12.895875,77.569945,-99,-13.0,0.0,903.0
12.895877,77.559323,-89,-9.0,0.0,885.0
12.895878,77.566375,-89,-9.0,0.0,902.0
12.895885,77.556975,-89,-9.0,0.0,880.0
12.89589,77.559308,-89,-9.0,0.0,885.0
12.89589,77.566325,-89,-9.0,0.0,902.0
12.895892,77.559925,-73,-9.0,0.0,885.0
12.895893,77.556598,-89,-9.0,0.0,880.0
12.895897,77.566247,-89,-9.0,0.0,902.0
12.895897,77.567332,-89,-9.0,0.0,893.0
12.895898,77.564705,-89,-9.0,0.0,902.0
12.895898,77.566282,-89,-9.0,0.0,902.0
12.895902,77.56621,-89,-9.0,0.0,902.0
12.895903,77.562498,-89,-9.0,0.0,896.0
12.895905,77.55929,-89,-9.0,0.0,885.0
12.89591,77.566173,-89,-9.0,0.0,902.0
12.895918,77.556608,-89,-9.0,0.0,880.0
12.89592,77.559947,-73,-9.0,0.0,885.0
12.895927,77.55926,-89,-9.0,0.0,885.0
12.895928,77.566138,-89,-9.0,0.0,902.0
12.89593,77.55702,-89,-9.0,0.0,880.0
12.895935,77.559248,-89,-9.0,0.0,885.0
12.895935,77.569985,-99,-13.0,0.0,903.0
12.895938,77.564718,-89,-9.0,0.0,902.0
12.89594,77.55663,-89,-9.0,0.0,880.0
12.895942,77.56734,-89,-9.0,0.0,893.0
12.895943,77.559232,-89,-9.0,0.0,885.0
12.895948,77.55997,-73,-9.0,0.0,885.0
12.895952,77.56611,-89,-9.0,0.0,902.0
12.895955,77.559217,-89,-9.0,0.0,885.0
12.895957,77.562417,-99,-13.0,0.0,896.0
12.895957,77.566078,-89,-9.0,0.0,902.0
12.89596,77.565978,-89,-9.0,0.0,902.0
12.89596,77.566002,-89,-9.0,0.0,902.0
12.895962,77.556652,-89,-9.0,0.0,880.0
12.895963,77.565873,-89,-9.0,0.0,902.0
12.895963,77.56605,-89,-9.0,0.0,902.0
12.895965,77.565883,-89,-9.0,0.0,902.0
12.895965,77.565898,-89,-9.0,0.0,902.0
12.895965,77.565955,-89,-9.0,0.0,902.0
12.895965,77.566027,-89,-9.0,0.0,902.0
12.895967,77.562475,-89,-9.0,0.0,896.0
12.895967,77.565857,-89,-9.0,0.0,902.0
12.895967,77.565908,-89,-9.0,0.0,902.0
12.895967,77.565925,-89,-9.0,0.0,902.0
12.895967,77.565938,-89,-9.0,0.0,902.0
12.895972,77.55706,-89,-9.0,0.0,880.0
12.895972,77.565827,-89,-9.0,0.0,902.0
12.895973,77.559202,-89,-9.0,0.0,885.0
12.895973,77.564732,-89,-9.0,0.0,902.0
12.895975,77.55999,-73,-9.0,0.0,885.0
12.895978,77.565797,-89,-9.0,0.0,902.0
12.895987,77.565765,-89,-9.0,0.0,902.0
12.895987,77.567358,-89,-9.0,0.0,893.0
12.895988,77.559202,-89,-9.0,0.0,885.0
12.89599,77.556663,-89,-9.0,0.0,880.0
12.895993,77.570033,-99,-13.0,0.0,903.0
12.895997,77.565735,-89,-9.0,0.0,902.0
12.895998,77.565703,-89,-9.0,0.0,902.0
12.896003,77.560012,-73,-9.0,0.0,885.0
12.896005,77.5592,-89,-9.0,0.0,885.0
12.896005,77.565668,-89,-9.0,0.0,902.0
12.896007,77.557088,-89,-9.0,0.0,880.0
12.89601,77.565633,-89,-9.0,0.0,902.0
12.896013,77.556687,-89,-9.0,0.0,880.0
12.896013,77.565593,-89,-9.0,0.0,902.0
12.896015,77.564742,-89,-9.0,0.0,902.0
12.896017,77.562453,-89,-9.0,0.0,896.0
12.896022,77.565555,-89,-9.0,0.0,902.0
12.896025,77.559202,-89,-9.0,0.0,885.0
12.896025,77.562383,-99,-13.0,0.0,896.0
12.89603,77.565517,-89,-9.0,0.0,902.0
12.896032,77.560033,-73,-9.0,0.0,885.0
12.896038,77.565478,-89,-9.0,0.0,902.0
12.896042,77.567368,-89,-9.0,0.0,893.0
12.896047,77.556717,-89,-9.0,0.0,880.0
12.896047,77.557108,-89,-9.0,0.0,880.0
12.896048,77.5592,-89,-9.0,0.0,885.0
12.896048,77.56543,-89,-9.0,0.0,902.0
12.896052,77.564743,-89,-9.0,0.0,902.0
12.896057,77.565378,-89,-9.0,0.0,902.0
12.896058,77.560047,-73,-9.0,0.0,885.0
12.89606,77.562432,-89,-9.0,0.0,896.0
12.89606,77.57007,-99,-13.0,0.0,903.0
12.89607,77.565325,-89,-9.0,0.0,902.0
12.896073,77.559195,-89,-9.0,0.0,885.0
12.896083,77.556745,-89,-9.0,0.0,880.0
12.896085,77.565265,-89,-9.0,0.0,902.0
12.896085,77.56738,-89,-9.0,0.0,893.0
12.896087,77.56006,-73,-9.0,0.0,885.0
12.896095,77.55713,-89,-9.0,0.0,880.0
12.896095,77.564733,-89,-9.0,0.0,902.0
12.896097,77.559187,-89,-9.0,0.0,885.0
12.8961,77.56234,-99,-13.0,0.0,896.0
12.8961,77.562408,-89,-9.0,0.0,896.0
