,Latitude,Longitude,Elevation,RSRP,RSRQ,SNR
9353,12.902669,77.504308,771,-117,-20,0
9354,12.902669,77.504308,771,-117,-20,0
9355,12.902669,77.504308,771,-111,-17,0
9356,12.902688,77.504721,771,-121,-19,0
9357,12.90279,77.50485,789,-120,-20,0
9358,12.90279,77.50485,789,-118,-20,0
9359,12.902808,77.504848,740,-119,-20,0
9360,12.902825,77.504857,725,-119,-20,0
9361,12.902825,77.504857,725,-119,-20,0
9362,12.902825,77.504857,725,-119,-20,0
9363,12.902825,77.504857,725,-114,-17,0
9364,12.902825,77.5048,721,-114,-17,0
9365,12.902825,77.5048,721,-114,-17,0
9366,12.90283,77.504747,724,-114,-17,0
9367,12.902842,77.504718,727,-115,-19,0
9368,12.902842,77.504718,727,-115,-19,0
9369,12.902912,77.504583,730,-115,-19,0
9370,12.902912,77.504583,730,-115,-20,0
9371,12.902912,77.504583,730,-115,-20,0
9372,12.902905,77.504633,735,-115,-20,0
9373,12.90291,77.504653,735,-115,-20,0
9374,12.90291,77.504653,735,-115,-20,0
9375,12.902918,77.50463,740,-117,-20,0
9376,12.902918,77.50463,740,-117,-20,0
9377,12.902927,77.504622,740,-117,-20,0
9378,12.902927,77.504602,740,-117,-20,0
9379,12.902927,77.504602,740,-117,-20,0
9380,12.902927,77.504602,740,-117,-20,0
9381,12.902937,77.504592,742,-117,-20,0
9382,12.902937,77.504592,742,-117,-20,0
9383,12.902937,77.504582,744,-117,-20,0
9384,12.902928,77.504557,747,-117,-20,0
9385,12.902928,77.504557,747,-117,-20,0
9386,12.902925,77.504542,749,-117,-20,0
9387,12.902925,77.504542,749,-117,-20,0
9388,12.902933,77.504528,751,-117,-20,0
9389,12.902933,77.504528,751,-117,-20,0
9390,12.902947,77.504512,753,-117,-20,0
9391,12.902947,77.504512,753,-117,-20,0
9392,12.902963,77.504488,753,-117,-20,0
9393,12.902973,77.504483,754,-117,-20,0
9394,12.902973,77.504483,754,-117,-20,0
9395,12.902973,77.504483,754,-117,-20,0
9396,12.902985,77.504473,754,-117,-20,0
9397,12.902998,77.504472,755,-117,-20,0
9398,12.903007,77.504463,755,-117,-20,0
9399,12.903007,77.504463,755,-117,-20,0
9400,12.903007,77.504463,755,-117,-20,0
9401,12.903007,77.504463,755,-117,-20,0
9402,12.903007,77.504463,755,-117,-20,0
9403,12.903007,77.504463,755,-117,-20,0
9404,12.903007,77.504463,755,-117,-20,0
9405,12.903007,77.504463,755,-117,-20,0
9406,12.903007,77.504463,755,-117,-20,0
9407,12.903007,77.504463,755,-117,-20,0
9408,12.902947,77.50435,769,-117,-20,0
9409,12.903022,77.504322,767,-117,-20,0
9410,12.903022,77.504322,767,-117,-20,0
9411,12.903035,77.50424,769,-117,-20,0
9412,12.903008,77.50415,776,-117,-20,0
9413,12.903008,77.50415,776,-117,-20,0
9414,12.903,77.504168,780,-117,-20,0
9415,12.902992,77.504205,770,-117,-20,0
9416,12.902992,77.504205,770,-117,-20,0
9417,12.902995,77.504243,763,-117,-20,0
9418,12.903005,77.504247,762,-117,-20,0
9419,12.903005,77.504247,762,-117,-20,0
9420,12.903015,77.504257,761,-117,-20,0
9421,12.903025,77.504247,761,-117,-20,0
9422,12.903025,77.504247,761,-117,-20,0
9423,12.903025,77.504247,761,-117,-20,0
9424,12.903037,77.504238,762,-117,-20,0
9425,12.90304,77.504225,762,-117,-20,0
9426,12.90303,77.504227,761,-117,-20,0
9427,12.903018,77.504232,761,-117,-20,0
9428,12.90301,77.504237,761,-117,-20,0
9429,12.902987,77.504235,760,-117,-20,0
9430,12.90298,77.504227,760,-117,-20,0
